f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
11658.665902676801,989202,3379,1,"1"
11663.607383614908,989201,3380,1,"1"
11672.996300996163,989200,3381,1,"1"
11706.196646056322,989199,3382,1,"1"
11711.606640492477,989190,3391,1,"1"
11735.346082608496,989172,3409,1,"1"
11742.4397180017,989162,3419,1,"1"
11770.778210286728,989144,3437,1,"1"
11779.850139001768,989126,3455,1,"1"
11833.436372193299,989123,3458,1,"1"
11845.632211529628,989117,3464,2,"2"
11845.963391460442,989112,3469,1,"1"
11847.700062173237,989094,3487,1,"1"
11849.798475741911,989088,3493,2,"2"
11866.033468247746,989087,3494,1,"1"
11866.218913542387,989067,3514,2,"2"
11873.71194123038,989066,3515,1,"1"
11902.670870511352,989065,3516,1,"1"
11917.940866662977,989053,3528,1,"1"
11931.872023189862,989035,3546,1,"1"
11943.009345381566,989017,3564,1,"1"
11953.534938047549,989002,3579,1,"1"
12057.983256034961,988984,3597,1,"1"
12064.243014332702,988977,3604,3,"2-1"
12064.313046704034,988976,3605,1,"1"
12064.832923495129,988975,3606,1,"1"
12067.035600102452,988957,3624,1,"1"
12103.113817688438,988952,3629,1,"1"
12112.866368852214,988934,3647,1,"1"
12115.946891974798,988931,3650,1,"1"
12119.229859418387,988930,3651,1,"1"
12122.770943589994,988912,3669,1,"1"
12152.468176041699,988906,3675,2,"2"
12160.551097679896,988894,3687,1,"1"
12162.435549524364,988848,3733,3,"3"
12162.605155301517,988847,3734,1,"1"
12163.016768375819,988846,3735,1,"1"
12168.950050710899,988828,3753,1,"1"
12178.12880969346,988811,3770,5,"3-1-1"
12192.978656784966,988808,3773,1,"1"
12200.836792183874,988790,3791,1,"1"
12202.469300364291,988789,3792,1,"1"
12208.696583351082,988771,3810,1,"1"
12210.353420609328,988766,3815,1,"1"
12243.20574478229,988764,3817,2,"2"
12248.127791337394,988759,3822,1,"1"
12250.63633299196,988756,3825,1,"1"
12273.84308606497,988744,3837,1,"1"
12280.559685226475,988742,3839,2,"2"
12284.191790890245,988739,3842,1,"1"
12311.904525016602,988729,3852,1,"1"
12318.487548318377,988711,3870,1,"1"
12327.079942166862,988693,3888,1,"1"
12328.288731435359,988691,3890,2,"1-1"
12332.401288968904,988667,3914,2,"2"
12380.810545939885,988649,3932,1,"1"
12387.483263760856,988638,3943,1,"1"
12389.767845280012,988635,3946,1,"1"
12394.284395458955,988634,3947,1,"1"
12408.101175336024,988616,3965,1,"1"
12410.530602053261,988614,3967,2,"2"
12435.622668273598,988612,3969,2,"2"
12446.614792241469,988602,3979,1,"1"
12449.156873278926,988562,4019,3,"2-1"
12453.969224282671,988561,4020,1,"1"
12455.162389972338,988543,4038,1,"1"
12455.437176163907,988540,4041,3,"2-1"
12458.938153442999,988539,4042,1,"1"
12475.330240730131,988538,4043,1,"1"
12481.812561392388,988520,4061,1,"1"
12491.679382977596,988506,4075,2,"1-1"
12524.539191153237,988488,4093,1,"1"
12531.75451343444,988487,4094,1,"1"
12531.799746657725,988477,4104,2,"2"
12534.907533009458,988475,4106,2,"2"
12544.198948651205,988461,4120,1,"1"
12547.764726076153,988460,4121,1,"1"
12552.2236365381,988455,4126,1,"1"
12575.920558636213,988419,4162,2,"1-1"
12579.396196042095,988401,4180,1,"1"
12631.360997924659,988400,4181,1,"1"
12633.783248882684,988399,4182,1,"1"
12653.417638422465,988396,4185,3,"3"
12662.73197976397,988380,4201,1,"1"
12687.892183845539,988379,4202,1,"1"
12688.19061478119,988378,4203,1,"1"
12702.032002186394,988374,4207,2,"1-1"
12712.016273030376,988357,4224,3,"3"
12714.942930924331,988356,4225,1,"1"
12746.203577644292,988355,4226,1,"1"
12788.329530819447,988337,4244,1,"1"
12795.676509813657,988322,4259,1,"1"
12808.118496002438,988308,4273,2,"2"
12814.866954623387,988302,4279,2,"1-1"
12823.335480971527,988284,4297,1,"1"
12828.642188359478,988271,4310,3,"3"
12860.127288435011,988245,4336,6,"3-2-1"
12870.319238263875,988244,4337,1,"1"
12880.841187044674,988226,4355,1,"1"
12893.937029224544,988208,4373,1,"1"
12908.516399161867,988190,4391,1,"1"
12920.063501660967,988186,4395,4,"3-1"
12934.633022851474,988168,4413,1,"1"
12938.003003289528,988156,4425,1,"1"
12945.068451138772,988130,4451,2,"1-1"
12968.058210660498,988112,4469,1,"1"
12987.43907508737,988094,4487,1,"1"
12992.184671651634,988076,4505,1,"1"
12998.190691205515,988058,4523,1,"1"
13020.322057752883,988055,4526,1,"1"
13021.366404579456,988037,4544,1,"1"
13024.288727743147,988034,4547,1,"1"
13041.248604083647,988016,4565,1,"1"
13041.728999266155,988015,4566,1,"1"
13049.184880343528,988014,4567,1,"1"
13062.789311801214,988011,4570,1,"1"
13068.08041995942,988009,4572,2,"2"
13072.008287085117,987991,4590,1,"1"
13086.331143794156,987980,4601,5,"3-1-1"
13095.753934001546,987977,4604,1,"1"
13117.710289348819,987959,4622,1,"1"
13117.74382009265,987941,4640,1,"1"
13117.822530357165,987928,4653,1,"1"
