ts,omitted_seed,xmin,alpha,ks,n_tail
512,4600,6,2.712628522841563,0.003185015170436234,235016
512,4615,6,2.7123246458935704,0.002769343908014754,232961
1024,4630,6,2.7130027645330768,0.005016196422635288,234730
1024,4645,6,2.7201310955610123,0.004467301516579925,234640
1024,4660,5,2.7368993107056885,0.004414447791703857,333957
1024,4675,5,2.731425366671727,0.004584641486141017,335925
1024,4690,5,2.732785855554657,0.005120016314875242,336974
1024,4705,6,2.7167884784878504,0.004746683565498122,236725
1024,4720,6,2.7139447747116816,0.005249261883651046,234378
1024,4735,6,2.7141247599006797,0.004932634259081081,235374
1024,4750,6,2.7105060946908295,0.005022339462704251,237336
1024,4765,6,2.713955521996998,0.004729548856880816,237017
1024,4780,6,2.7202434620857434,0.004770622702105154,234820
1024,4795,5,2.725165981818015,0.004963565273026216,338143
1024,4810,6,2.712516754156095,0.004959043806114449,235220
1024,4825,6,2.7136653630312817,0.004954502177892506,235651
1024,4840,5,2.733739773853038,0.004672311480587665,333305
1024,4855,6,2.7119568933991482,0.004967722705838562,238105
1024,4870,6,2.7151315245636107,0.005092612604533864,235254
1024,4885,6,2.718525240659963,0.004798375781418174,234485
1024,4900,5,2.7250451675796272,0.004833262928987392,334615
1024,4915,5,2.729740952455283,0.005016321691795611,334376
1024,4930,6,2.7163059183968374,0.004786004068821126,237644
1024,4945,5,2.734870278134303,0.004927239940056505,332255
1024,4960,6,2.721149771240509,0.004852571424145413,234055
1024,4975,6,2.71450419538066,0.0050866760062139305,234326
1024,4990,5,2.731896313446265,0.005004468455654554,332388
1024,5005,5,2.7346497567490333,0.004462255665966697,333342
1024,5020,6,2.7115903324184454,0.005451528415714779,234815
1024,5035,6,2.7148284036716164,0.004782700563929598,238641
1024,5050,6,2.714747677990735,0.004766081572380787,233691
1024,5065,5,2.727635591440672,0.004955014630634524,332887
1024,5080,6,2.715654776304034,0.004901371303492996,237016
1024,5095,6,2.7157982727782928,0.004843906874929749,236775
1024,5110,6,2.718378272992428,0.004997506931491369,232530
1024,5125,5,2.731825215040299,0.005155222409196414,334623
1024,5140,6,2.713902623242969,0.004863316907411042,236321
1024,5155,6,2.7200955399918616,0.004564612653699229,235188
1024,5170,6,2.715029730047881,0.004854159426179505,235736
1024,5185,5,2.7319335714014223,0.004797577809702858,334878
1024,5200,6,2.717360540232702,0.004627048314403748,238036
1024,5215,6,2.7125991930998374,0.0051374550403121555,235612
1024,5230,6,2.7085106624790525,0.005184602266119165,237329
1024,5245,6,2.716662018371481,0.005238097296180966,237124
1024,5260,5,2.725504730526605,0.004868606447784807,337948
1024,5275,6,2.710157147977465,0.005693847542427188,234286
1024,5290,6,2.711180531702856,0.005018941453141634,235056
1024,5305,6,2.7110024653474913,0.004885557818033126,234755
1024,5320,6,2.71706775803104,0.004842448126586463,235839
1024,5335,6,2.714588775768566,0.0051100355153090304,235117
1024,5350,6,2.7140958981615766,0.004951712134051378,236554
1024,5365,6,2.7162158486058305,0.005086482052819585,237530
4096,5380,6,2.7038547535213815,0.003371505464319302,239989
4096,5395,6,2.6947841860941075,0.0028773015122451895,238006
4096,5410,6,2.6916092577052604,0.0031129949290868986,239772
4096,5425,6,2.697969535726507,0.003174984773420486,239780
4096,5440,6,2.704850864461217,0.002929592832754624,238507
4096,5455,6,2.6965683314919975,0.002794434453094796,239797
4096,5470,6,2.6959632305053205,0.0030243435465757695,240291
4096,5485,6,2.70097075469215,0.0029744768283339607,236133
4096,5500,6,2.701404252577305,0.00303380646519813,239870
4096,5515,6,2.6951369265862573,0.003098487649868864,238801
4096,5530,6,2.695661874119012,0.0029796214423327694,238330
4096,5545,6,2.695650516541638,0.003039759304047651,238338
4096,5560,6,2.6956024283770126,0.002989596463038313,240662
4096,5575,6,2.691569524030299,0.003136329810838334,236752
4096,5590,6,2.699134436976617,0.0031338071696851433,237152
4096,5605,6,2.6980331320813016,0.0031439899817846673,240484
4096,5620,6,2.7033210103673126,0.002842192256586884,239807
4096,5635,6,2.693885419785637,0.003032926725921814,238005
4096,5650,6,2.700015885049903,0.00305414509734514,236322
4096,5665,6,2.690612305152563,0.0029980394930192444,236660
4096,5680,6,2.6981191872979946,0.003051719295832811,236692
4096,5695,6,2.7005970690718435,0.003309823323243144,237731
4096,5710,6,2.699535637879031,0.0030981139281771597,234858
4096,5725,6,2.694245781710972,0.0029419121364751,241287
4096,5740,6,2.6958629248093477,0.002818965473521562,240378
4096,5755,6,2.696519553390889,0.0030176975977196374,239767
4096,5770,6,2.6932100225261126,0.0030761124741969237,240744
4096,5785,6,2.698084208372798,0.003120072274490515,237116
4096,5800,6,2.6978617282161137,0.003118995963387494,237512
4096,5815,6,2.693690876818625,0.0029888468520069544,238911
4096,5830,6,2.6935417182856307,0.003251154445950588,239003
4096,5845,6,2.6938697096260786,0.0031591793090822717,238170
4096,5860,6,2.70483902674698,0.0025968127156511533,240109
4096,5875,6,2.700874673583098,0.0032962660688683476,234950
4096,5890,6,2.7006464085325743,0.002952263880085959,238373
4096,5905,6,2.691958488938557,0.0030178235711960655,236974
4096,5920,6,2.7022428556745295,0.0028871573745165025,238524
4096,5935,6,2.6965874457341727,0.003009512422907923,241343
4096,5950,6,2.696229904910094,0.002769109615194054,240287
4096,5965,6,2.7007193715740905,0.0029410143053620885,237327
4096,5980,6,2.6958110651054357,0.0033349478889974637,235249
4096,5995,6,2.691425166575512,0.0030938975762121457,239547
4096,6010,6,2.698650805384092,0.0034402700006441744,238718
4096,6025,6,2.69754321317755,0.00291174731535504,238908
4096,6040,6,2.693888230881411,0.0032488660244475165,237056
4096,6055,6,2.7001636576312458,0.0029349718895461674,238100
4096,6070,6,2.6964126241399136,0.002940938042714336,237552
4096,6085,6,2.698759216877865,0.0032680114523467862,238168
4096,6100,6,2.6974127306377844,0.0030594138048615216,237905
4096,6115,6,2.6964667661937325,0.0030188716366296164,240658
8192,6130,8,2.678547036503599,0.007510212219004719,127673
8192,6145,8,2.688087084078064,0.007293475563031504,125506
8192,6160,8,2.681242004296301,0.007659436179269563,124786
8192,6175,8,2.684045044289843,0.00748576259223066,124839
8192,6190,8,2.6746167608411935,0.007638566510123179,125997
8192,6205,8,2.6769997766095837,0.0075219355193568704,126987
8192,6220,8,2.682811218890103,0.0072785954635898875,124723
8192,6235,8,2.6762237792338777,0.0074815521643596394,127424
8192,6250,8,2.676349414976045,0.007631393827237654,126153
8192,6265,8,2.6809715405752605,0.007404364469364766,127806
8192,6280,8,2.679730039563487,0.0076103868491894655,127040
8192,6295,8,2.683484342702477,0.0075920715792283655,125459
8192,6310,8,2.6796893798337877,0.007527888490266532,127810
8192,6325,8,2.687604407945699,0.0067996079688315,126518
8192,6340,8,2.6808973892728476,0.00780867183971834,126783
8192,6355,8,2.6803397965082953,0.00786137013929733,123830
8192,6370,8,2.700192070449049,0.0069009575030233306,124282
8192,6385,8,2.680480574647638,0.007521466362185647,127594
8192,6400,8,2.676427423571781,0.007741823423295546,125850
8192,6415,8,2.6851080815160984,0.007119183652634864,125868
8192,6430,8,2.6879786493662894,0.007324048771370606,124731
8192,6445,8,2.681497077558213,0.00760248113126516,125936
8192,6460,8,2.688015016630134,0.0074609289556406555,125436
8192,6475,8,2.6838677050695603,0.007400827419159706,125951
8192,6490,8,2.6807709632738965,0.00772458858428593,125497
8192,6505,8,2.6784833703951096,0.0075894554281966675,125526
8192,6520,8,2.676428573146228,0.008246570858471913,125431
8192,6535,8,2.678375223766558,0.007755648829262607,126604
8192,6550,8,2.681286548856868,0.00747110929446082,127067
8192,6565,8,2.675590410067743,0.007725190279181837,125927
8192,6580,8,2.6778472262860022,0.0075072484043585685,126354
8192,6595,8,2.6789556008256463,0.007445278429706326,126235
8192,6610,8,2.685819773515908,0.007603018343647849,125313
8192,6625,8,2.6793026636280093,0.007577707035093861,126317
8192,6640,8,2.683745110897405,0.007381329926320679,123914
8192,6655,8,2.685111814590372,0.007075266359274468,126128
8192,6670,8,2.6945633435090146,0.007151736674886777,123501
8192,6685,8,2.67949855252443,0.007349037099963263,126750
8192,6700,8,2.68121500391273,0.007553949179409991,126419
8192,6715,8,2.681068970032024,0.0077306238778054315,124762
