ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,1482,6,2.527701478237249,0.007439676658391958,293482,0.008275431368160176,0.002291598327972877
64,1483,5,2.4878256081434595,0.009236801235944558,400959,0.011410154767115132,0.002750848318230248
64,1484,5,2.545520990904749,0.008372048565407297,417974,0.011737404889865544,0.003686370203318301
64,1485,5,2.515116972823257,0.010747169140108759,405569,0.011445993794927936,0.005298447114750915
64,1486,1,3.6501338313179135,0.011182819224391016,35210854,1.0,0.00981981970527318
64,1487,1,3.64312628103179,0.011106036136569686,34643177,1.0,0.008018105559430666
64,1488,6,2.583748240371312,0.006161577238963822,288080,0.008085334066200048,0.002267781107782141
64,1489,5,2.582191957202385,0.008151300670172335,403348,0.01130776467834892,0.005739037090220722
64,1490,7,2.497303111864678,0.0078929528458751,219222,0.006248577857233925,0.007177452841150733
64,1491,6,2.5593242440149586,0.005741243092284631,287247,0.008231747917947832,0.006278094921595145
64,1492,5,2.5838516091855483,0.009686056967010637,397625,0.011316524550661046,0.00520698428504901
64,1493,5,2.5458254078879423,0.009785025875327369,406751,0.011730135169468674,0.004575181301643916
64,1494,5,2.619406455142367,0.0033542069225607207,406234,0.011316465262793994,0.006863535841840851
64,1495,5,2.5653173138863545,0.006272457215280247,406760,0.011424715950064588,0.002668120667255469
64,1496,5,2.5571213066428675,0.007308933214876467,437603,0.011949109158514331,0.00782952886041649
64,1497,6,2.5507494195082066,0.007002059991298104,273984,0.007917245047004452,0.003243097549600338
64,1498,6,2.5427973609763854,0.010390841634415615,297923,0.008268544248242112,0.004051089598596236
64,1499,5,2.525756244074782,0.011112117339612704,407375,0.011640724840468134,0.00852942707596882
64,1500,5,2.5238665480211115,0.007726088514252272,413141,0.011887212567901588,0.006044572952022653
64,1501,1,3.654564002882606,0.011058295656116823,35406594,1.0,0.006032086288323302
64,1502,6,2.5391457116455856,0.007300471626621063,295136,0.00836209963114634,0.0027287278774151824
64,1503,6,2.4834984868623264,0.01132990603882289,275057,0.008002865537765204,0.004248707894282999
64,1504,5,2.5292443030455654,0.00854900792369706,411889,0.011779516678013227,0.002485543399828094
64,1505,6,2.610188465763857,0.005162353582401913,286233,0.007772945999569523,0.004348890627279278
64,1506,5,2.536204401018795,0.0071630529555997136,401984,0.011553237049843396,0.002888916861693458
64,1507,6,2.5349833480988613,0.0063570712076239655,306804,0.008534676846797372,0.003946200703134395
64,1508,6,2.5278213930175,0.009502253525820237,279890,0.007933156615176684,0.003952280073026726
64,1509,6,2.525408576150062,0.0074720404154834386,290843,0.008236885675958868,0.004275737751745834
64,1510,5,2.5406460760834273,0.008137454019695567,421946,0.011767569570435992,0.003675829400716535
64,1511,6,2.5792468491968825,0.0030317681305186417,295321,0.008288806968479598,0.008756571121012025
64,1512,5,2.5741254264739277,0.006099156606050815,436957,0.012011924589028734,0.0024897401768172456
64,1513,7,2.5475753882776044,0.007576054494472295,238888,0.006554472999523878,0.007241485940041037
64,1514,6,2.55794977027204,0.0043309490645383475,301386,0.00844459264729851,0.004473736896373426
64,1515,6,2.5185321275808117,0.006376041424015488,303609,0.008637545780693923,0.0032269911566245035
64,1516,5,2.593969054651466,0.008092827798967805,427294,0.011829550532504741,0.0032467461253836705
64,1517,5,2.530636519038654,0.007825924553221508,416784,0.011769434035663431,0.0037182207737099793
64,1518,8,2.511452217379775,0.006038214158728961,168354,0.004849154132901975,0.00843615396256081
64,1519,5,2.5903248649896944,0.007748268850553186,435271,0.011763612444196141,0.00280457133911044
64,1520,5,2.593227364432439,0.006089639633011679,416652,0.011612486564112352,0.0018175417715805553
64,1521,5,2.561150535137885,0.00978745800615588,386752,0.011003842889096007,0.004144522938356099
64,1522,6,2.5406098681688714,0.008320590680776951,282152,0.00806107851466246,0.004479850394308205
64,1523,5,2.52563953620089,0.010073271803423656,399230,0.01141552348208608,0.006435815500612119
64,1524,6,2.536484151609189,0.008939229006039828,286038,0.008207882756042882,0.006543908015487321
64,1525,5,2.5500698070548187,0.007433102298853911,412442,0.011621164279254626,0.00357169845275937
64,1526,5,2.54442106525467,0.010086245719128306,408835,0.011439756134680628,0.004416274891689498
64,1527,5,2.5315360056219283,0.006632930377493129,419637,0.01176926918188775,0.0015758149769863894
64,1528,6,2.5624351403410652,0.005408212387809974,292117,0.008382626584069264,0.0027007444832729544
64,1529,5,2.5637969661094147,0.009291374915584072,411097,0.01146227778953476,0.004216967933920235
64,1530,1,3.635806947577529,0.010808634859902688,35699878,1.0,0.005412215023614886
64,1531,1,3.641561962622299,0.011692601237919487,34071420,1.0,0.007863201554017651
64,1532,5,2.570163075118547,0.00958192020464077,406358,0.011412882549777908,0.004294212158417909
64,1533,5,2.502787751545125,0.011122638049988809,413493,0.011678066601353114,0.0037813343325898696
64,1534,6,2.517378429489245,0.011005512757342628,284416,0.008113740714155016,0.007321739733389676
64,1535,5,2.5887271929927467,0.005117390923654597,431563,0.011736179076813813,0.0028946485534204203
64,1536,5,2.5006016417362753,0.008661565345576716,452270,0.012633230695608134,0.007791745054011701
64,1537,5,2.559314433162911,0.007553983509698381,382902,0.011147214752372278,0.0035132507353149434
64,1538,5,2.5497540870304545,0.006913096064083524,427345,0.011741721419419966,0.00519726999924397
64,1539,1,3.6522639642059347,0.011083812995267728,35214909,1.0,0.008457590819446803
