replicate,xmin,gof_xmin,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
114,29,29,2.4739164208421203,2.3107178825939547,0.012558614179481675,225.13135973179251,0.0105288411465283,207.82105502066878,0.012558614179481675,200.83121214727623,0.00811269872326248,226.72496727333044,0.006320674311299901
115,29,29,2.3968967718401126,2.026555236200058,0.01310317167967634,192.63133258329455,0.010306257386953344,199.7154411273078,0.01310317167967634,179.52961368490995,0.003918755673012919,207.7614501965632,0.003146126824569495
116,29,29,2.527004850526489,2.6714513728166533,0.012697233284012954,216.30318269003718,0.012697233284012954,216.98370680298152,0.007126350473127041,226.4497212639612,0.011435702862849229,246.24125808092836,0.007698431883222612
117,29,29,2.505114208355093,2.41531129441448,0.01106331478243694,240.05408184320157,0.006241211295117843,208.19764621717982,0.008001458453603116,216.95798119548215,0.00774295205015102,247.8070496041167,0.01106331478243694
118,29,29,2.4920505150535868,2.3487230211869945,0.017109291814422334,231.82664283882792,0.006199818222807796,226.1560843661367,0.01170888493194,204.65450491127427,0.017109291814422334,236.98281739234616,0.006501830506448925
119,29,29,2.551919028637702,2.5352641301465555,0.023506631634063024,243.03666441129445,0.006915190925140369,221.51696877447102,0.023506631634063024,214.70293178195834,0.012787798875128986,246.6470207719404,0.012489320824554007
120,29,29,2.466318706372257,2.2884550564632264,0.01102110046218735,245.20736592932406,0.004123539971692736,199.35982219753723,0.008522820604760839,189.19315485143264,0.01102110046218735,224.90518990930687,0.006382875657423404
121,29,29,2.5215747793900514,2.7512565159513227,0.01587047490305593,253.170129152455,0.005837207029706359,210.24254130278592,0.006563947595042918,204.2758626591397,0.01587047490305593,264.01670389494245,0.005193520198506829
122,29,29,2.5856528942160892,2.907674468304354,0.009792753558058698,249.9436573150046,0.0037762178718124817,237.3204782165018,0.009792753558058698,234.50121231326338,0.007185918351234166,256.0713447254932,0.009242825085904849
123,29,29,2.499026697193362,2.49961887440942,0.011946916488556503,254.52916232843245,0.009899827667814942,212.68038952222798,0.008139990744843062,207.1396518786499,0.004819114020065407,234.48080081828866,0.011946916488556503
124,29,29,2.558229413871033,2.8413288896817384,0.020431837322955337,240.79435140646123,0.011924196695351275,207.43207554664502,0.0063387414544960885,232.29544046871527,0.020431837322955337,252.72321220305076,0.007674918862519919
125,29,29,2.571470229557141,2.4694116001316004,0.011795213951818151,234.3009665211623,0.007234434581580573,217.30587437098575,0.007051565791610148,214.43461714822402,0.010882171866669399,233.86135140672562,0.011795213951818151
126,29,29,2.6307421239089575,2.5519121246295025,0.01446216135126377,266.9093988880321,0.00499860317387113,220.2198353251953,0.01446216135126377,234.41304308148472,0.005141281805800424,249.9851938797909,0.01360234400401994
127,29,29,2.492140699165036,2.2497471489135665,0.014459632630455355,219.17459756065475,0.003038501864348536,197.34263724148684,0.011842602429911142,191.11159296079768,0.007330798499646463,212.80507364152845,0.014459632630455355
128,29,29,2.5226867678777856,2.737733624541522,0.013656460738715404,254.77625205914782,0.004229928354810286,227.01037849597498,0.010019850767769845,212.4936344836875,0.013656460738715404,259.57022289643555,0.009411965392281285
